,Symbol,Company Name
502,ORIENTREF,Orient Refractories Limited
503,POLYPLEX,Polyplex Corporation Limited
504,JAMNAAUTO,Jamna Auto Industries Limited
505,JKTYRE,JK Tyre & Industries Limited
506,NEULANDLAB,Neuland Laboratories Limited
507,NFL,National Fertilizers Limited
508,INDOCO,Indoco Remedies Limited
509,ALEMBICLTD,Alembic Limited
510,ICIL,Indo Count Industries Limited
511,SHARDACROP,Sharda Cropchem Limited
512,TATAMETALI,Tata Metaliks Limited
513,BSE,BSE Limited
514,UJJIVAN,Ujjivan Financial Services Limited
515,JKPAPER,JK Paper Limited
516,GPIL,Godawari Power And Ispat limited
517,GUJALKALI,Gujarat Alkalies and Chemicals Limited
518,HERANBA,Heranba Industries Limited
519,LAOPALA,La Opala RG Limited
520,RUPA,Rupa & Company Limited
521,RAYMOND,Raymond Limited
522,MINDACORP,Minda Corporation Limited
523,HCG,Healthcare Global Enterprises Limited
524,ANGELBRKG,Angel Broking Limited
525,JINDALSAW,Jindal Saw Limited
526,KIRLOSENG,Kirloskar Oil Engines Limited
527,SHOPERSTOP,Shoppers Stop Limited
528,DEN,Den Networks Limited
529,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
530,BEPL,Bhansali Engineering Polymers Limited
531,FRETAIL,Future Retail Limited
532,PTC,PTC India Limited
533,HIL,HIL Limited
534,IFCI,IFCI Limited
535,RELIGARE,Religare Enterprises Limited
536,GREENLAM,Greenlam Industries Limited
537,SCHNEIDER,Schneider Electric Infrastructure Limited
538,EASEMYTRIP,Easy Trip Planners Limited
539,TATACOFFEE,Tata Coffee Limited
540,JPPOWER,Jaiprakash Power Ventures Limited
541,RAMCOIND,Ramco Industries Limited
542,GDL,Gateway Distriparks Limited
543,BALMLAWRIE,Balmer Lawrie & Company Limited
544,MATRIMONY,Matrimony.Com Limited
545,VENKEYS,Venky's (India) Limited
546,UNICHEMLAB,Unichem Laboratories Limited
547,GHCL,GHCL Limited
548,INGERRAND,Ingersoll Rand (India) Limited
549,SUVIDHAA,Suvidhaa Infoserve Limited
550,GRSE,Garden Reach Shipbuilders & Engineers Limited
551,HUHTAMAKI,Huhtamaki India Limited
552,REPCOHOME,Repco Home Finance Limited
553,MSTCLTD,Mstc Limited
554,VRLLOG,VRL Logistics Limited
555,GREENPLY,Greenply Industries Limited
556,JTEKTINDIA,Jtekt India Limited
557,MARKSANS,Marksans Pharma Limited
558,TRIVENI,Triveni Engineering & Industries Limited
559,ATFL,Agro Tech Foods Limited
560,SUBROS,Subros Limited
561,NEOGEN,Neogen Chemicals Limited
562,AHLUCONT,Ahluwalia Contracts (India) Limited
563,ORIENTCEM,Orient Cement Limited
564,SUBEXLTD,Subex Limited
565,JBMA,JBM Auto Limited
566,BANARISUG,Bannari Amman Sugars Limited
567,NEWGEN,Newgen Software Technologies Limited
568,BECTORFOOD,Mrs. Bectors Food Specialities Limited
569,TCI,Transport Corporation of India Limited
570,OAL,Oriental Aromatics Limited
571,ASTEC,Astec LifeSciences Limited
572,GREENPANEL,Greenpanel Industries Limited
573,SHIL,Somany Home Innovation Limited
574,NIITLTD,NIIT Limited
575,EVEREADY,Eveready Industries India Limited
576,VESUVIUS,Vesuvius India Limited
577,RENUKA,Shree Renuka Sugars Limited
578,HGINFRA,H.G. Infra Engineering Limited
579,GEPIL,GE Power India Limited
580,BOROLTD,Borosil Limited
581,KIRLOSBROS,Kirloskar Brothers Limited
582,KTKBANK,The Karnataka Bank Limited
583,SURYAROSNI,Surya Roshni Limited
584,DAAWAT,LT Foods Limited
585,MAYURUNIQ,Mayur Uniquoters Ltd
586,THOMASCOOK,Thomas Cook  (India)  Limited
587,MAHSEAMLES,Maharashtra Seamless Limited
588,NAVNETEDUL,Navneet Education Limited
589,DFMFOODS,DFM Foods Limited
590,J&KBANK,The Jammu & Kashmir Bank Limited
591,APARINDS,Apar Industries Limited
592,SOMANYCERA,Somany Ceramics Limited
593,CAMLINFINE,Camlin Fine Sciences Limited
594,ADFFOODS,ADF Foods Limited
595,OLECTRA,Olectra Greentech Limited
596,SHRIPISTON,Shriram Pistons & Rings Limited
597,HIKAL,Hikal Limited
598,GMDCLTD,Gujarat Mineral Development Corporation Limited
599,ACE,Action Construction Equipment Limited
600,PILANIINVS,Pilani Investment and Industries Corporation Limited
601,HSCL,Himadri Speciality Chemical Limited
602,PDSMFL,PDS Multinational Fashions Limited
603,KOLTEPATIL,Kolte - Patil Developers Limited
604,PFOCUS,Prime Focus Limited
605,DCAL,Dishman Carbogen Amcis Limited
606,ARVIND,Arvind Limited
607,DISHTV,Dish TV India Limited
608,JPASSOCIAT,Jaiprakash Associates Limited
609,TINPLATE,The Tinplate Company of India Limited
610,SAGCEM,Sagar Cements Limited
